,Country of Origin,Altitude,Variety,Processing Method,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Category Two Defects
190,Thailand,1400.0,Java,Washed / Wet,81.42,11.6,2,0,1
191,Thailand,1400.0,Typica Bourbon Caturra Catimor,Natural / Dry,81.33,10.5,0,0,5
192,Thailand,700.0,Catimor,Washed / Wet,81.17,10.4,0,0,0
193,Colombia,1550.0,"Caturra,Colombia,Castillo",Washed / Wet,81.17,11.4,0,2,2
195,El Salvador,1400.0,Bourbon,Natural / Dry,80.83,10.5,0,8,7
197,Nicaragua,1000.0,Sarchimor,Washed / Wet,80.42,11.2,0,0,5
198,Colombia,1600.0,"Castillo,Caturra,Bourbon",Washed / Wet,80.42,11.0,0,3,3
199,Peru,1600.0,Caturra,Washed / Wet,80.33,11.8,0,6,11
200,El Salvador,1300.0,Pacas,Natural / Dry,80.33,11.5,0,10,7
201,Brazil,1200.0,Catuai and Mundo Novo,Natural / Dry,80.17,11.6,0,1,2
202,Brazil,950.0,Mundo Novo,Natural / Dry,80.08,11.4,0,0,4
203,Nicaragua,1200.0,SHG,Natural / Dry,80.0,10.4,0,2,12
204,Laos,1300.0,Catimor,Washed / Wet,79.67,11.6,0,9,11
205,El Salvador,1200.0,Maragogype,Natural / Dry,78.08,11.0,0,12,13
206,Brazil,975.0,Mundo Novo,SEMI-LAVADO,78.0,11.3,0,0,1
